ClearingPrice,Exchange,ExchangeName,TradingVolume,TradingVolumeTime,VWAP,TradingValue,BidQty,BidPrice,BidSign,AskQty,AskPrice,AskSign,Symbol,SymbolName,CurrentPrice,CurrentPriceTime,CurrentPriceChangeStatus,CurrentPriceStatus,CalcPrice,PreviousClose,PreviousCloseTime,ChangePreviousClose,ChangePreviousClosePer,OpeningPrice,OpeningPriceTime,HighPrice,HighPriceTime,LowPrice,LowPriceTime,SecurityType,Sell1,Sell2,Sell3,Sell4,Sell5,Sell6,Sell7,Sell8,Sell9,Sell10,Buy1,Buy2,Buy3,Buy4,Buy5,Buy6,Buy7,Buy8,Buy9,Buy10
37730.0,2,大阪日通し,310202.0,2024-07-25T22:07:55+09:00,37602.2604,1166429638500.0,75.0,37925.0,101,23.0,37920.0,101,169090019,日経225mini 24/09,37920.0,2024-07-25T22:07:55+09:00,57,1,37920.0,37730.0,2024-07-25T00:00:00+09:00,190.0,0.5,37680.0,2024-07-25T16:30:01+09:00,37945.0,2024-07-25T22:06:42+09:00,37325.0,2024-07-25T17:19:43+09:00,901,"{'Price': 37925.0, 'Qty': 75.0, 'Sign': '0101'}","{'Price': 37930.0, 'Qty': 110.0}","{'Price': 37935.0, 'Qty': 120.0}","{'Price': 37940.0, 'Qty': 135.0}","{'Price': 37945.0, 'Qty': 124.0}","{'Price': 37950.0, 'Qty': 173.0}","{'Price': 37955.0, 'Qty': 103.0}","{'Price': 37960.0, 'Qty': 213.0}","{'Price': 37965.0, 'Qty': 88.0}","{'Price': 37970.0, 'Qty': 100.0}","{'Price': 37920.0, 'Qty': 23.0, 'Sign': '0101'}","{'Price': 37915.0, 'Qty': 62.0}","{'Price': 37910.0, 'Qty': 94.0}","{'Price': 37905.0, 'Qty': 95.0}","{'Price': 37900.0, 'Qty': 109.0}","{'Price': 37895.0, 'Qty': 117.0}","{'Price': 37890.0, 'Qty': 129.0}","{'Price': 37885.0, 'Qty': 121.0}","{'Price': 37880.0, 'Qty': 269.0}","{'Price': 37875.0, 'Qty': 145.0}"
37730.0,2,大阪日通し,310225.0,2024-07-25T22:07:56+09:00,37602.284,1166516854500.0,75.0,37925.0,101,23.0,37920.0,101,169090019,日経225mini 24/09,37920.0,2024-07-25T22:07:56+09:00,57,1,37920.0,37730.0,2024-07-25T00:00:00+09:00,190.0,0.5,37680.0,2024-07-25T16:30:01+09:00,37945.0,2024-07-25T22:06:42+09:00,37325.0,2024-07-25T17:19:43+09:00,901,"{'Price': 37925.0, 'Qty': 75.0, 'Sign': '0101'}","{'Price': 37930.0, 'Qty': 110.0}","{'Price': 37935.0, 'Qty': 120.0}","{'Price': 37940.0, 'Qty': 135.0}","{'Price': 37945.0, 'Qty': 124.0}","{'Price': 37950.0, 'Qty': 173.0}","{'Price': 37955.0, 'Qty': 103.0}","{'Price': 37960.0, 'Qty': 213.0}","{'Price': 37965.0, 'Qty': 88.0}","{'Price': 37970.0, 'Qty': 100.0}","{'Price': 37920.0, 'Qty': 23.0, 'Sign': '0101'}","{'Price': 37915.0, 'Qty': 62.0}","{'Price': 37910.0, 'Qty': 94.0}","{'Price': 37905.0, 'Qty': 95.0}","{'Price': 37900.0, 'Qty': 109.0}","{'Price': 37895.0, 'Qty': 117.0}","{'Price': 37890.0, 'Qty': 129.0}","{'Price': 37885.0, 'Qty': 121.0}","{'Price': 37880.0, 'Qty': 269.0}","{'Price': 37875.0, 'Qty': 145.0}"
37730.0,2,大阪日通し,310225.0,2024-07-25T22:07:56+09:00,37602.284,1166516854500.0,12.0,37920.0,101,58.0,37915.0,101,169090019,日経225mini 24/09,37920.0,2024-07-25T22:07:56+09:00,57,1,37920.0,37730.0,2024-07-25T00:00:00+09:00,190.0,0.5,37680.0,2024-07-25T16:30:01+09:00,37945.0,2024-07-25T22:06:42+09:00,37325.0,2024-07-25T17:19:43+09:00,901,"{'Price': 37920.0, 'Qty': 12.0, 'Sign': '0101'}","{'Price': 37925.0, 'Qty': 92.0}","{'Price': 37930.0, 'Qty': 110.0}","{'Price': 37935.0, 'Qty': 140.0}","{'Price': 37940.0, 'Qty': 135.0}","{'Price': 37945.0, 'Qty': 124.0}","{'Price': 37950.0, 'Qty': 173.0}","{'Price': 37955.0, 'Qty': 103.0}","{'Price': 37960.0, 'Qty': 213.0}","{'Price': 37965.0, 'Qty': 88.0}","{'Price': 37915.0, 'Qty': 58.0, 'Sign': '0101'}","{'Price': 37910.0, 'Qty': 95.0}","{'Price': 37905.0, 'Qty': 75.0}","{'Price': 37900.0, 'Qty': 120.0}","{'Price': 37895.0, 'Qty': 107.0}","{'Price': 37890.0, 'Qty': 129.0}","{'Price': 37885.0, 'Qty': 121.0}","{'Price': 37880.0, 'Qty': 269.0}","{'Price': 37875.0, 'Qty': 145.0}","{'Price': 37870.0, 'Qty': 117.0}"
37730.0,2,大阪日通し,310231.0,2024-07-25T22:07:56+09:00,37602.2901,1166539606500.0,12.0,37920.0,101,58.0,37915.0,101,169090019,日経225mini 24/09,37920.0,2024-07-25T22:07:56+09:00,57,1,37920.0,37730.0,2024-07-25T00:00:00+09:00,190.0,0.5,37680.0,2024-07-25T16:30:01+09:00,37945.0,2024-07-25T22:06:42+09:00,37325.0,2024-07-25T17:19:43+09:00,901,"{'Price': 37920.0, 'Qty': 12.0, 'Sign': '0101'}","{'Price': 37925.0, 'Qty': 92.0}","{'Price': 37930.0, 'Qty': 110.0}","{'Price': 37935.0, 'Qty': 140.0}","{'Price': 37940.0, 'Qty': 135.0}","{'Price': 37945.0, 'Qty': 124.0}","{'Price': 37950.0, 'Qty': 173.0}","{'Price': 37955.0, 'Qty': 103.0}","{'Price': 37960.0, 'Qty': 213.0}","{'Price': 37965.0, 'Qty': 88.0}","{'Price': 37915.0, 'Qty': 58.0, 'Sign': '0101'}","{'Price': 37910.0, 'Qty': 95.0}","{'Price': 37905.0, 'Qty': 75.0}","{'Price': 37900.0, 'Qty': 120.0}","{'Price': 37895.0, 'Qty': 107.0}","{'Price': 37890.0, 'Qty': 129.0}","{'Price': 37885.0, 'Qty': 121.0}","{'Price': 37880.0, 'Qty': 269.0}","{'Price': 37875.0, 'Qty': 145.0}","{'Price': 37870.0, 'Qty': 117.0}"
37730.0,2,大阪日通し,310231.0,2024-07-25T22:07:56+09:00,37602.2901,1166539606500.0,79.0,37925.0,101,26.0,37920.0,101,169090019,日経225mini 24/09,37920.0,2024-07-25T22:07:56+09:00,57,1,37920.0,37730.0,2024-07-25T00:00:00+09:00,190.0,0.5,37680.0,2024-07-25T16:30:01+09:00,37945.0,2024-07-25T22:06:42+09:00,37325.0,2024-07-25T17:19:43+09:00,901,"{'Price': 37925.0, 'Qty': 79.0, 'Sign': '0101'}","{'Price': 37930.0, 'Qty': 110.0}","{'Price': 37935.0, 'Qty': 119.0}","{'Price': 37940.0, 'Qty': 135.0}","{'Price': 37945.0, 'Qty': 124.0}","{'Price': 37950.0, 'Qty': 173.0}","{'Price': 37955.0, 'Qty': 104.0}","{'Price': 37960.0, 'Qty': 213.0}","{'Price': 37965.0, 'Qty': 88.0}","{'Price': 37970.0, 'Qty': 100.0}","{'Price': 37920.0, 'Qty': 26.0, 'Sign': '0101'}","{'Price': 37915.0, 'Qty': 62.0}","{'Price': 37910.0, 'Qty': 95.0}","{'Price': 37905.0, 'Qty': 95.0}","{'Price': 37900.0, 'Qty': 121.0}","{'Price': 37895.0, 'Qty': 117.0}","{'Price': 37890.0, 'Qty': 129.0}","{'Price': 37885.0, 'Qty': 121.0}","{'Price': 37880.0, 'Qty': 269.0}","{'Price': 37875.0, 'Qty': 115.0}"
37730.0,2,大阪日通し,310231.0,2024-07-25T22:07:56+09:00,37602.2901,1166539606500.0,63.0,37925.0,101,36.0,37920.0,101,169090019,日経225mini 24/09,37920.0,2024-07-25T22:07:56+09:00,57,1,37920.0,37730.0,2024-07-25T00:00:00+09:00,190.0,0.5,37680.0,2024-07-25T16:30:01+09:00,37945.0,2024-07-25T22:06:42+09:00,37325.0,2024-07-25T17:19:43+09:00,901,"{'Price': 37925.0, 'Qty': 63.0, 'Sign': '0101'}","{'Price': 37930.0, 'Qty': 110.0}","{'Price': 37935.0, 'Qty': 119.0}","{'Price': 37940.0, 'Qty': 135.0}","{'Price': 37945.0, 'Qty': 124.0}","{'Price': 37950.0, 'Qty': 173.0}","{'Price': 37955.0, 'Qty': 104.0}","{'Price': 37960.0, 'Qty': 213.0}","{'Price': 37965.0, 'Qty': 88.0}","{'Price': 37970.0, 'Qty': 100.0}","{'Price': 37920.0, 'Qty': 36.0, 'Sign': '0101'}","{'Price': 37915.0, 'Qty': 63.0}","{'Price': 37910.0, 'Qty': 95.0}","{'Price': 37905.0, 'Qty': 95.0}","{'Price': 37900.0, 'Qty': 121.0}","{'Price': 37895.0, 'Qty': 117.0}","{'Price': 37890.0, 'Qty': 129.0}","{'Price': 37885.0, 'Qty': 121.0}","{'Price': 37880.0, 'Qty': 269.0}","{'Price': 37875.0, 'Qty': 115.0}"
37730.0,2,大阪日通し,310231.0,2024-07-25T22:07:56+09:00,37602.2901,1166539606500.0,59.0,37925.0,101,37.0,37920.0,101,169090019,日経225mini 24/09,37920.0,2024-07-25T22:07:56+09:00,57,1,37920.0,37730.0,2024-07-25T00:00:00+09:00,190.0,0.5,37680.0,2024-07-25T16:30:01+09:00,37945.0,2024-07-25T22:06:42+09:00,37325.0,2024-07-25T17:19:43+09:00,901,"{'Price': 37925.0, 'Qty': 59.0, 'Sign': '0101'}","{'Price': 37930.0, 'Qty': 110.0}","{'Price': 37935.0, 'Qty': 119.0}","{'Price': 37940.0, 'Qty': 135.0}","{'Price': 37945.0, 'Qty': 124.0}","{'Price': 37950.0, 'Qty': 173.0}","{'Price': 37955.0, 'Qty': 104.0}","{'Price': 37960.0, 'Qty': 213.0}","{'Price': 37965.0, 'Qty': 89.0}","{'Price': 37970.0, 'Qty': 100.0}","{'Price': 37920.0, 'Qty': 37.0, 'Sign': '0101'}","{'Price': 37915.0, 'Qty': 63.0}","{'Price': 37910.0, 'Qty': 95.0}","{'Price': 37905.0, 'Qty': 95.0}","{'Price': 37900.0, 'Qty': 123.0}","{'Price': 37895.0, 'Qty': 117.0}","{'Price': 37890.0, 'Qty': 129.0}","{'Price': 37885.0, 'Qty': 121.0}","{'Price': 37880.0, 'Qty': 269.0}","{'Price': 37875.0, 'Qty': 115.0}"
37730.0,2,大阪日通し,310232.0,2024-07-25T22:07:57+09:00,37602.2911,1166543398500.0,59.0,37925.0,101,60.0,37920.0,101,169090019,日経225mini 24/09,37920.0,2024-07-25T22:07:57+09:00,57,1,37920.0,37730.0,2024-07-25T00:00:00+09:00,190.0,0.5,37680.0,2024-07-25T16:30:01+09:00,37945.0,2024-07-25T22:06:42+09:00,37325.0,2024-07-25T17:19:43+09:00,901,"{'Price': 37925.0, 'Qty': 59.0, 'Sign': '0101'}","{'Price': 37930.0, 'Qty': 110.0}","{'Price': 37935.0, 'Qty': 119.0}","{'Price': 37940.0, 'Qty': 135.0}","{'Price': 37945.0, 'Qty': 124.0}","{'Price': 37950.0, 'Qty': 173.0}","{'Price': 37955.0, 'Qty': 104.0}","{'Price': 37960.0, 'Qty': 213.0}","{'Price': 37965.0, 'Qty': 89.0}","{'Price': 37970.0, 'Qty': 100.0}","{'Price': 37920.0, 'Qty': 60.0, 'Sign': '0101'}","{'Price': 37915.0, 'Qty': 76.0}","{'Price': 37910.0, 'Qty': 75.0}","{'Price': 37905.0, 'Qty': 95.0}","{'Price': 37900.0, 'Qty': 123.0}","{'Price': 37895.0, 'Qty': 117.0}","{'Price': 37890.0, 'Qty': 129.0}","{'Price': 37885.0, 'Qty': 121.0}","{'Price': 37880.0, 'Qty': 269.0}","{'Price': 37875.0, 'Qty': 115.0}"
37730.0,2,大阪日通し,310232.0,2024-07-25T22:07:57+09:00,37602.2911,1166543398500.0,59.0,37925.0,101,60.0,37920.0,101,169090019,日経225mini 24/09,37920.0,2024-07-25T22:07:57+09:00,57,1,37920.0,37730.0,2024-07-25T00:00:00+09:00,190.0,0.5,37680.0,2024-07-25T16:30:01+09:00,37945.0,2024-07-25T22:06:42+09:00,37325.0,2024-07-25T17:19:43+09:00,901,"{'Price': 37925.0, 'Qty': 59.0, 'Sign': '0101'}","{'Price': 37930.0, 'Qty': 110.0}","{'Price': 37935.0, 'Qty': 119.0}","{'Price': 37940.0, 'Qty': 135.0}","{'Price': 37945.0, 'Qty': 124.0}","{'Price': 37950.0, 'Qty': 173.0}","{'Price': 37955.0, 'Qty': 105.0}","{'Price': 37960.0, 'Qty': 213.0}","{'Price': 37965.0, 'Qty': 89.0}","{'Price': 37970.0, 'Qty': 100.0}","{'Price': 37920.0, 'Qty': 60.0, 'Sign': '0101'}","{'Price': 37915.0, 'Qty': 76.0}","{'Price': 37910.0, 'Qty': 75.0}","{'Price': 37905.0, 'Qty': 95.0}","{'Price': 37900.0, 'Qty': 123.0}","{'Price': 37895.0, 'Qty': 117.0}","{'Price': 37890.0, 'Qty': 129.0}","{'Price': 37885.0, 'Qty': 121.0}","{'Price': 37880.0, 'Qty': 269.0}","{'Price': 37875.0, 'Qty': 115.0}"
37730.0,2,大阪日通し,310232.0,2024-07-25T22:07:57+09:00,37602.2911,1166543398500.0,62.0,37925.0,101,60.0,37920.0,101,169090019,日経225mini 24/09,37920.0,2024-07-25T22:07:57+09:00,57,1,37920.0,37730.0,2024-07-25T00:00:00+09:00,190.0,0.5,37680.0,2024-07-25T16:30:01+09:00,37945.0,2024-07-25T22:06:42+09:00,37325.0,2024-07-25T17:19:43+09:00,901,"{'Price': 37925.0, 'Qty': 62.0, 'Sign': '0101'}","{'Price': 37930.0, 'Qty': 110.0}","{'Price': 37935.0, 'Qty': 119.0}","{'Price': 37940.0, 'Qty': 135.0}","{'Price': 37945.0, 'Qty': 124.0}","{'Price': 37950.0, 'Qty': 173.0}","{'Price': 37955.0, 'Qty': 105.0}","{'Price': 37960.0, 'Qty': 213.0}","{'Price': 37965.0, 'Qty': 89.0}","{'Price': 37970.0, 'Qty': 100.0}","{'Price': 37920.0, 'Qty': 60.0, 'Sign': '0101'}","{'Price': 37915.0, 'Qty': 76.0}","{'Price': 37910.0, 'Qty': 75.0}","{'Price': 37905.0, 'Qty': 95.0}","{'Price': 37900.0, 'Qty': 123.0}","{'Price': 37895.0, 'Qty': 117.0}","{'Price': 37890.0, 'Qty': 129.0}","{'Price': 37885.0, 'Qty': 121.0}","{'Price': 37880.0, 'Qty': 269.0}","{'Price': 37875.0, 'Qty': 115.0}"
